LOC_ID	Region	APORT_NAME	CITY	STATE	FAC_TYPE	ATCT_FLAG	HUB_SIZE	SYSYEAR	SCENARIO	AC	COMMUTER	T_ENPL	ITN_AC	ITN_AT	ATN_GA	_ITN_MIL	T_ITN	LOC_GA	LOC_MIL	T_LOC	T_AOPS	T_TROPS	TOT_BA
DCA 	AEA	RONALD REAGAN WASHINGTON NATIONAL	WASHINGTON	DC	7	1	L	2011	0	6161824	2903545	9065369	194831	84268	5099	601	284799	0	0	0	284799	0	0
DCA 	AEA	RONALD REAGAN WASHINGTON NATIONAL	WASHINGTON	DC	7	1	L	2012	0	6227743	3074409	9302152	190311	89912	6183	1460	287866	0	0	0	287866	0	0
DCA 	AEA	RONALD REAGAN WASHINGTON NATIONAL	WASHINGTON	DC	7	1	L	2013	0	6485558	3366228	9851786	195295	92624	5435	2082	295436	0	0	0	295436	0	0
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON	DC	7	1	L	2011	0	8111735	3013349	11125084	180351	139237	48064	480	368132	0	0	0	368132	0	44
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON	DC	7	1	L	2012	0	7730019	3215444	10945463	173738	127154	43096	685	344673	0	0	0	344673	0	63
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON	DC	7	1	L	2013	0	7427462	3145966	10573428	161602	129850	41094	956	333502	0	0	0	333502	0	50
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2011	0	10495733	562829	11058562	219750	39317	17183	690	276940	378	0	378	277318	0	73
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2012	0	10599937	557241	11157178	213337	41395	15898	960	271590	276	0	276	271866	0	68
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2013	0	10518648	474410	10993058	207107	35790	15864	1302	260063	138	0	138	260201	0	67
EWR 	AEA	NEWARK LIBERTY INTL                               	NEWARK	NJ	7	1	L	2011	0	13440932	3196678	16637610	282442	116748	12629	528	412347	0	0	0	412347	0	8
EWR 	AEA	NEWARK LIBERTY INTL                               	NEWARK	NJ	7	1	L	2012	0	13746856	3471240	17218096	287668	127160	10771	434	426033	0	0	0	426033	0	8
EWR 	AEA	NEWARK LIBERTY INTL                               	NEWARK	NJ	7	1	L	2013	0	13645360	3558417	17203777	273254	132378	9654	605	415891	0	0	0	415891	0	7
JFK 	AEA	JOHN F KENNEDY INTL                               	NEW YORK	NY	7	1	L	2011	0	21841550	1706320	23547870	341874	63390	7506	310	413080	0	0	0	413080	0	0
JFK 	AEA	JOHN F KENNEDY INTL                               	NEW YORK	NY	7	1	L	2012	0	22900922	1564623	24465545	352109	51655	7755	354	411873	0	0	0	411873	0	0
JFK 	AEA	JOHN F KENNEDY INTL                               	NEW YORK	NY	7	1	L	2013	0	23305418	1433101	24738519	353389	47992	6860	518	408759	0	0	0	408759	0	0
LGA 	AEA	LAGUARDIA	NEW YORK	NY	7	1	L	2011	0	8911019	3111017	12022036	242305	121170	6401	311	370187	0	0	0	370187	0	0
LGA 	AEA	LAGUARDIA	NEW YORK	NY	7	1	L	2012	0	9287598	3350963	12638561	265301	104339	6535	344	376519	0	0	0	376519	0	0
LGA 	AEA	LAGUARDIA	NEW YORK	NY	7	1	L	2013	0	9509944	3730246	13240190	299500	64766	6903	271	371440	0	0	0	371440	0	0
PHL 	AEA	PHILADELPHIA INTL                                 	PHILADELPHIA	PA	3	1	L	2011	0	10606022	4322278	14928300	263306	171495	16453	817	452071	0	0	0	452071	631368	26
PHL 	AEA	PHILADELPHIA INTL                                 	PHILADELPHIA	PA	3	1	L	2012	0	10287351	4405790	14693141	251330	181797	14141	392	447660	0	0	0	447660	622319	26
PHL 	AEA	PHILADELPHIA INTL                                 	PHILADELPHIA	PA	3	1	L	2013	0	10302276	4413648	14715924	240856	180012	13891	407	435166	0	0	0	435166	602435	23
MDW 	AGL	CHICAGO MIDWAY INTL                               	CHICAGO	IL	7	1	L	2011	0	8676432	271718	8948150	180445	26397	43324	2295	252461	24	26	50	252511	0	44
MDW 	AGL	CHICAGO MIDWAY INTL                               	CHICAGO	IL	7	1	L	2012	0	9105505	285453	9390958	185283	26518	38636	2031	252468	62	6	68	252536	0	52
MDW 	AGL	CHICAGO MIDWAY INTL                               	CHICAGO	IL	7	1	L	2013	0	9497885	266216	9764101	185486	27392	36578	1382	250838	10	0	10	250848	0	54
ORD 	AGL	CHICAGO O'HARE INTL                               	CHICAGO	IL	7	1	L	2011	0	21545969	10279650	31825619	525091	351340	7658	131	884220	0	0	0	884220	0	0
ORD 	AGL	CHICAGO O'HARE INTL                               	CHICAGO	IL	7	1	L	2012	0	21516559	10739643	32256202	513069	358304	7721	208	879302	0	0	0	879302	0	0
ORD 	AGL	CHICAGO O'HARE INTL                               	CHICAGO	IL	7	1	L	2013	0	20960577	11012719	31973296	505847	363897	7632	153	877529	0	0	0	877529	0	0
DTW 	AGL	DETROIT METROPOLITAN WAYNE COUNTY	DETROIT	MI	7	1	L	2011	0	10045795	5674338	15720133	191893	248390	6662	100	447045	0	0	0	447045	0	8
DTW 	AGL	DETROIT METROPOLITAN WAYNE COUNTY	DETROIT	MI	7	1	L	2012	0	9824471	5852453	15676924	208358	217951	6127	247	432683	0	0	0	432683	0	6
DTW 	AGL	DETROIT METROPOLITAN WAYNE COUNTY	DETROIT	MI	7	1	L	2013	0	10046687	5577427	15624114	228398	191274	5855	96	425623	0	0	0	425623	0	7
MSP 	AGL	MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN         	MINNEAPOLIS	MN	7	1	L	2011	0	10937307	4901543	15838850	280138	142957	13801	2864	439760	0	0	0	439760	0	29
MSP 	AGL	MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN         	MINNEAPOLIS	MN	7	1	L	2012	0	10867009	5010135	15877144	280030	130721	12340	2465	425556	0	0	0	425556	0	29
MSP 	AGL	MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN         	MINNEAPOLIS	MN	7	1	L	2013	0	11318029	4857705	16175734	284724	130004	11579	2690	428997	0	0	0	428997	0	36
BOS 	ANE	GENERAL EDWARD LAWRENCE LOGAN INTL                	BOSTON	MA	7	1	L	2011	0	12698331	1429607	14127938	184401	171416	17353	720	373890	0	0	0	373890	0	0
BOS 	ANE	GENERAL EDWARD LAWRENCE LOGAN INTL                	BOSTON	MA	7	1	L	2012	0	13087587	1238341	14325928	264773	83535	15227	658	364193	0	0	0	364193	0	0
BOS 	ANE	GENERAL EDWARD LAWRENCE LOGAN INTL                	BOSTON	MA	7	1	L	2013	0	13395490	1202512	14598002	266743	79060	14823	717	361343	0	0	0	361343	0	0
DEN 	ANM	DENVER INTL                                       	DENVER	CO	7	1	L	2011	0	19968518	5678657	25647175	461324	176854	3666	79	641923	0	0	0	641923	0	2
DEN 	ANM	DENVER INTL                                       	DENVER	CO	7	1	L	2012	0	20439166	5241451	25680617	437810	176716	3698	156	618380	0	0	0	618380	0	2
DEN 	ANM	DENVER INTL                                       	DENVER	CO	7	1	L	2013	0	20604295	4874860	25479155	428790	160603	3959	90	593442	0	0	0	593442	0	2
PDX 	ANM	PORTLAND INTL                                     	PORTLAND	OR	7	1	L	2011	0	5073432	1690412	6763844	145271	47926	22607	3598	219402	1422	50	1472	220874	0	87
PDX 	ANM	PORTLAND INTL                                     	PORTLAND	OR	7	1	L	2012	0	5374176	1676147	7050323	147466	40854	22054	4085	214459	2493	5	2498	216957	0	73
PDX 	ANM	PORTLAND INTL                                     	PORTLAND	OR	7	1	L	2013	0	5556205	1785383	7341588	150012	36186	15192	4450	205840	2210	25	2235	208075	0	78
SLC 	ANM	SALT LAKE CITY INTL                               	SALT LAKE CITY	UT	7	1	L	2011	0	6276982	3519577	9796559	178563	113077	57701	4620	353961	10869	9	10878	364839	0	301
SLC 	ANM	SALT LAKE CITY INTL                               	SALT LAKE CITY	UT	7	1	L	2012	0	6394392	3209108	9603500	175449	93681	55118	2234	326482	3531	10	3541	330023	0	301
SLC 	ANM	SALT LAKE CITY INTL                               	SALT LAKE CITY	UT	7	1	L	2013	0	6549622	3088372	9637994	175921	88915	60346	2061	327243	3751	14	3765	331008	0	337
SEA 	ANM	SEATTLE-TACOMA INTL                               	SEATTLE	WA	7	1	L	2011	0	13301074	2566474	15867548	295931	15723	3596	130	315380	0	0	0	315380	0	4
SEA 	ANM	SEATTLE-TACOMA INTL                               	SEATTLE	WA	7	1	L	2012	0	13509492	2571971	16081463	293616	14704	3595	152	312067	0	0	0	312067	0	2
SEA 	ANM	SEATTLE-TACOMA INTL                               	SEATTLE	WA	7	1	L	2013	0	13924622	2617581	16542203	295542	13961	3515	83	313101	0	0	0	313101	0	2
FLL 	ASO	FORT LAUDERDALE/HOLLYWOOD INTL                    	FORT LAUDERDALE	FL	7	1	L	2011	0	11253374	97765	11351139	192193	35741	41589	477	270000	0	0	0	270000	0	49
FLL 	ASO	FORT LAUDERDALE/HOLLYWOOD INTL                    	FORT LAUDERDALE	FL	7	1	L	2012	0	11299917	113737	11413654	190607	37202	35798	451	264058	0	0	0	264058	0	76
FLL 	ASO	FORT LAUDERDALE/HOLLYWOOD INTL                    	FORT LAUDERDALE	FL	7	1	L	2013	0	11390820	139574	11530394	191833	29341	35399	572	257145	0	0	0	257145	0	71
MCO 	ASO	ORLANDO INTL                                      	ORLANDO	FL	7	1	L	2011	0	17154922	160978	17315900	286358	14966	16747	868	318939	0	0	0	318939	0	27
MCO 	ASO	ORLANDO INTL                                      	ORLANDO	FL	7	1	L	2012	0	17097175	150641	17247816	281735	12816	16145	595	311291	2	0	2	311293	0	23
MCO 	ASO	ORLANDO INTL                                      	ORLANDO	FL	7	1	L	2013	0	16862471	108910	16971381	270971	12435	15843	387	299636	0	0	0	299636	0	23
MIA 	ASO	MIAMI INTL                                        	MIAMI	FL	3	1	L	2011	0	16845001	1148547	17993548	313503	58571	18940	934	391948	0	0	0	391948	924653	28
MIA 	ASO	MIAMI INTL                                        	MIAMI	FL	3	1	L	2012	0	17829959	1173986	19003945	317784	56786	18004	920	393494	0	0	0	393494	919262	28
MIA 	ASO	MIAMI INTL                                        	MIAMI	FL	3	1	L	2013	0	18177158	1095101	19272259	308080	69330	18404	864	396678	0	0	0	396678	925537	28
TPA 	ASO	TAMPA INTL                                        	TAMPA	FL	3	1	L	2011	0	8055954	110028	8165982	146599	20771	24447	562	192379	302	10	312	192691	438542	70
TPA 	ASO	TAMPA INTL                                        	TAMPA	FL	3	1	L	2012	0	8093907	112898	8206805	145176	20188	23058	691	189113	384	0	384	189497	431015	67
TPA 	ASO	TAMPA INTL                                        	TAMPA	FL	3	1	L	2013	0	8107629	143323	8250952	142364	22073	21282	428	186147	32	2	34	186181	424189	65
ATL 	ASO	HARTSFIELD - JACKSON ATLANTA INTL                 	ATLANTA	GA	7	1	L	2011	0	37333122	6753997	44087119	724356	198117	6961	426	929860	0	0	0	929860	0	3
ATL 	ASO	HARTSFIELD - JACKSON ATLANTA INTL                 	ATLANTA	GA	7	1	L	2012	0	38919763	6478317	45398080	739111	184544	7432	371	931458	0	0	0	931458	0	3
ATL 	ASO	HARTSFIELD - JACKSON ATLANTA INTL                 	ATLANTA	GA	7	1	L	2013	0	39547181	5787932	45335113	728697	177787	7362	261	914107	0	0	0	914107	0	3
CLT 	ASO	CHARLOTTE/DOUGLAS INTL                            	CHARLOTTE	NC	3	1	L	2011	0	12372019	6759055	19131074	334540	183153	24394	1929	544016	0	0	0	544016	634782	74
CLT 	ASO	CHARLOTTE/DOUGLAS INTL                            	CHARLOTTE	NC	3	1	L	2012	0	13039308	6711815	19751123	340081	184289	23814	1749	549933	0	0	0	549933	642829	84
CLT 	ASO	CHARLOTTE/DOUGLAS INTL                            	CHARLOTTE	NC	3	1	L	2013	0	14022227	7024760	21046987	349163	180183	24652	1493	555491	0	0	0	555491	644835	92
DFW 	ASW	DALLAS-FORT WORTH INTL                            	DALLAS-FORT WORTH	TX	7	1	L	2011	0	23117592	4346566	27464158	470851	173474	6087	216	650628	0	0	0	650628	0	0
DFW 	ASW	DALLAS-FORT WORTH INTL                            	DALLAS-FORT WORTH	TX	7	1	L	2012	0	23438053	4361864	27799917	445404	194982	5874	186	646446	0	0	0	646446	0	0
DFW 	ASW	DALLAS-FORT WORTH INTL                            	DALLAS-FORT WORTH	TX	7	1	L	2013	0	24346676	4599762	28946438	451992	218507	6359	143	677001	0	0	0	677001	0	0
IAH 	ASW	GEORGE BUSH INTERCONTINENTAL/HOUSTON	HOUSTON	TX	7	1	L	2011	0	14133259	5358595	19491854	283045	236783	12037	256	532121	0	0	0	532121	0	25
IAH 	ASW	GEORGE BUSH INTERCONTINENTAL/HOUSTON	HOUSTON	TX	7	1	L	2012	0	13550065	5602827	19152892	287977	217192	12012	224	517405	0	0	0	517405	0	25
IAH 	ASW	GEORGE BUSH INTERCONTINENTAL/HOUSTON	HOUSTON	TX	7	1	L	2013	0	13394480	5426949	18821429	273528	217919	12194	296	503937	0	0	0	503937	0	25
PHX 	AWP	PHOENIX SKY HARBOR INTL                           	PHOENIX	AZ	7	1	L	2011	0	17807893	1865991	19673884	375207	63032	20200	2526	460965	736	11	747	461712	0	60
PHX 	AWP	PHOENIX SKY HARBOR INTL                           	PHOENIX	AZ	7	1	L	2012	0	17653889	1938205	19592094	358955	71861	20825	2574	454215	254	6	260	454475	0	60
PHX 	AWP	PHOENIX SKY HARBOR INTL                           	PHOENIX	AZ	7	1	L	2013	0	17535666	1958615	19494281	345691	67856	21114	2595	437256	126	13	139	437395	0	68
LAX 	AWP	LOS ANGELES INTL                                  	LOS ANGELES	CA	7	1	L	2011	0	27395206	2772104	30167310	468763	106471	18549	2411	596194	0	0	0	596194	0	2
LAX 	AWP	LOS ANGELES INTL                                  	LOS ANGELES	CA	7	1	L	2012	0	28282610	3014706	31297316	481325	106722	18165	2634	608846	0	0	0	608846	0	6
LAX 	AWP	LOS ANGELES INTL                                  	LOS ANGELES	CA	7	1	L	2013	0	28927833	3039701	31967534	491693	93768	18333	2554	606348	0	0	0	606348	0	5
SAN 	AWP	SAN DIEGO INTL                                    	SAN DIEGO	CA	7	1	L	2011	0	7990632	454160	8444792	145989	27547	10569	735	184840	0	0	0	184840	0	7
