Facility,Date,Scheduled_departure,Scheduled Arrival,Departures_for_metric_computation,Arrivals_for_metric_computation,On-Time Gate Departure,On-Time Airport Departure,On-Time Gate Arrivals,Arrivals With EDCT,Average EDCT,Gate Departure Delay,Taxi Out Delay,Average Taxi Out Time,Airport Departure Delay,Average Block Delay,Average Gate Arrival Delay
ATL,01/01/2011,"1,054","1,052","1,051","1,035",67.36,49.67,76.43,16.67,20.45,7.61,23.42,3,3.9,2.93,11.81
ATL,01/02/2011,"1,243","1,249","1,252","1,256",77.4,63.42,82.88,11.02,19.41,6.52,16.34,1.66,2.9,2.29,8.33
ATL,01/03/2011,"1,277","1,282","1,296","1,287",83.41,73.92,88.73,7.81,17.99,5.35,11.82,1.14,4.28,1.64,5.95
ATL,01/04/2011,"1,251","1,259","1,279","1,278",85.22,72.56,87.4,7.67,19,6.17,12.57,1.78,2.77,1.82,6.08
ATL,01/05/2011,"1,253","1,247","1,268","1,256",84.46,73.03,83.44,7.75,19.31,6.54,12.74,3.33,4.27,4.05,7.18
ATL,01/06/2011,"1,262","1,261","1,270","1,264",87.48,76.61,88.13,6.59,19.11,6.33,11.07,2.68,2.84,2.82,5.69
ATL,01/07/2011,"1,270","1,264","1,267","1,260",85.64,77.82,87.06,7.78,18.96,6.12,12.15,2.17,2.61,3.08,6.92
ATL,01/08/2011,"1,034","1,036","1,055","1,037",86.16,78.2,88.04,6.61,17.99,5.23,10.38,1.36,3.26,2.82,6.31
ATL,01/09/2011,"1,192","1,200","1,008",998,80.46,68.25,83.97,12.86,24.45,11.8,23.2,1.75,4.38,3.87,8.34
ATL,01/10/2011,"1,261","1,259",109,138,22.02,3.67,56.52,73.26,95.17,82.04,153.22,1.75,12.4,9.44,30.82
ATL,01/11/2011,"1,242","1,245",382,384,29.58,17.54,41.67,46.79,25.98,12.93,59.02,4.57,5.43,12.24,38.26
ATL,01/12/2011,"1,252","1,247","1,007",975,46.77,33.27,54.77,32.66,21.77,8.79,40.78,2.37,6.15,5.65,29.27
ATL,01/13/2011,"1,264","1,263","1,250","1,233",70.64,51.92,74.21,15.35,21.31,8.42,22.67,1.4,6.25,3.85,14.55
ATL,01/14/2011,"1,272","1,267","1,294","1,282",80.45,64.61,84.09,9.8,21.1,8.18,16.52,1.03,4.36,2.33,7.44
ATL,01/15/2011,"1,039","1,040","1,050","1,041",86.48,75.81,86.84,5.9,18.81,6,10.58,1.19,4.43,2.93,6.87
ATL,01/16/2011,"1,130","1,133","1,138","1,134",93.59,87.96,93.21,3.33,17.81,5.03,6.48,1.14,2.67,1.82,3.25
ATL,01/17/2011,"1,248","1,251","1,261","1,264",84.22,74.07,81.8,8.15,18.02,5.48,12.37,2.92,4.11,4.35,8.8
ATL,01/18/2011,"1,237","1,242","1,243","1,246",76.35,58.81,70.79,11.38,21.38,8.6,18.6,3.85,5.51,7.58,16.11
ATL,01/19/2011,"1,249","1,244","1,278","1,257",86.38,74.65,84.17,6.74,19.92,7.11,11.99,3.08,3.22,3.61,7.99
ATL,01/20/2011,"1,262","1,260","1,277","1,268",81.36,66.95,77.68,8.29,20.3,7.47,14.25,2.92,3.99,5.77,10.52
ATL,01/21/2011,"1,269","1,265","1,273","1,262",85.23,70.93,83.52,7.23,20.58,7.7,13.23,1.13,3.25,2.8,8.07
ATL,01/22/2011,"1,041","1,041","1,045","1,045",91.39,85.74,93.59,4.15,17.42,4.72,7.21,1.25,3.4,1.55,3.11
ATL,01/23/2011,"1,194","1,203","1,207","1,193",89.15,79.2,89.94,6,19.26,6.41,10.63,1.46,3.87,2.49,6.25
ATL,01/24/2011,"1,261","1,260","1,279","1,260",88.66,80.53,86.75,5.74,18.03,5.43,9.5,1.5,4.13,3.07,6.9
ATL,01/25/2011,"1,237","1,240","1,242","1,251",76.65,56.36,66.35,11.17,22.73,9.91,19.58,7.98,5.01,10.96,15.51
ATL,01/26/2011,"1,247","1,245","1,191","1,189",83.04,72.96,78.47,7.4,18.92,6.08,11.94,4.39,3.14,5.51,10.96
ATL,01/27/2011,"1,262","1,258","1,241","1,217",80.9,70.75,82.74,10.92,19.12,6.3,15.71,1.8,2.68,2.76,11.11
ATL,01/28/2011,"1,268","1,264","1,276","1,260",86.29,74.37,86.27,7.7,19.74,6.91,12.88,2.12,2.83,2.59,7.31
ATL,01/29/2011,"1,040","1,041","1,028","1,034",91.63,84.34,91.2,4.68,18.05,5.31,8.15,1.7,3.72,2.28,4.33
ATL,01/30/2011,"1,195","1,204","1,199","1,199",92.33,85.4,92.91,3.58,18.56,5.78,7.38,1.42,3.27,1.53,3.61
ATL,01/31/2011,"1,256","1,258","1,207","1,266",82.85,61.23,76.07,7.73,22.27,9.5,15.57,4.34,4.33,5.91,11.38
