Date,Facility,Air_Carrier,Air_Taxi,General_Aviation,Military,Total operation
01/01/2011,ATL,"1,685",409,6,1,"2,101"
01/01/2011,BOS,388,287,21,0,696
01/01/2011,CLT,733,422,28,0,"1,183"
01/01/2011,DEN,"1,172",408,26,0,"1,606"
01/01/2011,DFW,"1,121",375,15,0,"1,511"
01/01/2011,DTW,437,482,2,0,921
01/01/2011,EWR,635,265,9,0,909
01/01/2011,IAH,672,602,5,0,"1,279"
01/01/2011,JFK,907,184,18,0,"1,109"
01/01/2011,LAS,746,406,144,1,"1,297"
01/01/2011,LAX,"1,117",228,47,1,"1,393"
01/01/2011,LGA,458,93,13,0,564
01/01/2011,MCO,833,38,21,2,894
01/01/2011,MIA,846,158,56,0,"1,060"
01/01/2011,MSP,657,315,20,0,992
01/01/2011,ORD,"1,301",779,4,0,"2,084"
01/01/2011,PHL,634,461,31,0,"1,126"
01/01/2011,PHX,938,129,33,0,"1,100"
01/01/2011,SEA,696,27,7,0,730
01/01/2011,SFO,701,217,23,3,944
Sub-Total for 01/01/2011,,"16,677","6,285",529,8,"23,499"
01/02/2011,ATL,"1,903",630,12,0,"2,545"
01/02/2011,BOS,456,372,25,0,853
01/02/2011,CLT,904,506,32,2,"1,444"
01/02/2011,DEN,"1,315",432,28,0,"1,775"
01/02/2011,DFW,"1,299",455,10,0,"1,764"
01/02/2011,DTW,496,652,23,0,"1,171"
01/02/2011,EWR,740,365,16,0,"1,121"
01/02/2011,IAH,747,755,37,0,"1,539"
01/02/2011,JFK,946,191,15,0,"1,152"
01/02/2011,LAS,936,386,280,1,"1,603"
01/02/2011,LAX,"1,329",280,115,0,"1,724"
01/02/2011,LGA,585,311,22,0,918
01/02/2011,MCO,879,55,65,1,"1,000"
01/02/2011,MIA,911,220,107,0,"1,238"
01/02/2011,MSP,767,383,24,0,"1,174"
01/02/2011,ORD,"1,438",958,10,0,"2,406"
01/02/2011,PHL,715,493,53,0,"1,261"
01/02/2011,PHX,"1,135",138,56,1,"1,330"
01/02/2011,SEA,793,39,21,1,854
01/02/2011,SFO,749,204,40,2,995
Sub-Total for 01/02/2011,,"19,043","7,825",991,8,"27,867"
01/03/2011,ATL,"1,983",618,10,0,"2,611"
01/03/2011,BOS,491,428,40,0,959
01/03/2011,CLT,971,525,42,0,"1,538"
01/03/2011,DEN,"1,343",491,13,0,"1,847"
01/03/2011,DFW,"1,341",483,16,0,"1,840"
01/03/2011,DTW,525,668,9,0,"1,202"
01/03/2011,EWR,794,384,20,0,"1,198"
01/03/2011,IAH,766,821,24,0,"1,611"
01/03/2011,JFK,963,201,15,0,"1,179"
01/03/2011,LAS,946,222,131,1,"1,300"
01/03/2011,LAX,"1,334",285,63,0,"1,682"
01/03/2011,LGA,665,413,5,0,"1,083"
01/03/2011,MCO,845,47,46,0,938
01/03/2011,MIA,896,186,109,1,"1,192"
01/03/2011,MSP,781,408,24,2,"1,215"
01/03/2011,ORD,"1,461","1,005",0,0,"2,466"
