#,Date,Airport,Business Jet,Business Aviation,Departures,Arrivals,Total Operations,Departure Seats,Average Departure Seats,Arrival Seats,Average Arrival Seats
1,01/2011,ATL - Atlanta,No,No,"35,227","35,273","70,500","4,443,105",126,"4,454,470",126
2,01/2011,ATL - Atlanta,No,Yes,244,223,467,"3,010",12,"2,724",12
Sub-Total for No,,,,,"35,471","35,496","70,967","4,446,115",125,"4,457,194",125
3,01/2011,ATL - Atlanta,Yes,Yes,251,246,497,"2,461",9,"2,418",9
Sub-Total for Yes,,,,,495,469,964,"5,471",11,"5,142",10
Sub-Total for ATL - Atlanta,,,,,"35,722","35,742","71,464","4,448,576",124,"4,459,612",124
4,01/2011,BOS - Boston,No,No,"11,606","11,563","23,169","1,385,857",119,"1,385,261",119
5,01/2011,BOS - Boston,No,Yes,"1,069",786,"1,855","5,031",4,"3,867",4
Sub-Total for No,,,,,"12,675","12,349","25,024","1,390,888",109,"1,389,128",112
6,01/2011,BOS - Boston,Yes,Yes,553,580,"1,133","6,034",10,"6,300",10
Sub-Total for Yes,,,,,"1,622","1,366","2,988","11,065",6,"10,167",7
Sub-Total for BOS - Boston,,,,,"13,228","12,929","26,157","1,396,922",105,"1,395,428",107
7,01/2011,CLT - Charlotte,No,No,"20,223","20,204","40,427","1,998,150",98,"1,995,967",98
8,01/2011,CLT - Charlotte,No,Yes,329,334,663,"2,168",6,"2,211",6
Sub-Total for No,,,,,"20,552","20,538","41,090","2,000,318",97,"1,998,178",97
9,01/2011,CLT - Charlotte,Yes,Yes,685,685,"1,370","7,239",10,"7,194",10
Sub-Total for Yes,,,,,"1,014","1,019","2,033","9,407",9,"9,405",9
Sub-Total for CLT - Charlotte,,,,,"21,237","21,223","42,460","2,007,557",94,"2,005,372",94
10,01/2011,DEN - Denver,No,No,"25,721","25,708","51,429","2,608,557",101,"2,607,353",101
11,01/2011,DEN - Denver,No,Yes,168,155,323,"1,250",7,"1,175",7
Sub-Total for No,,,,,"25,889","25,863","51,752","2,609,807",100,"2,608,528",100
12,01/2011,DEN - Denver,Yes,Yes,188,166,354,"1,998",10,"1,788",10
Sub-Total for Yes,,,,,356,321,677,"3,248",9,"2,963",9
Sub-Total for DEN - Denver,,,,,"26,077","26,029","52,106","2,611,805",100,"2,610,316",100
13,01/2011,DFW - Dallas/Ft. Worth,No,No,"26,582","26,525","53,107","3,171,242",119,"3,165,011",119
14,01/2011,DFW - Dallas/Ft. Worth,No,Yes,182,149,331,"2,110",11,"1,709",11
Sub-Total for No,,,,,"26,764","26,674","53,438","3,173,352",118,"3,166,720",118
15,01/2011,DFW - Dallas/Ft. Worth,Yes,Yes,183,185,368,"1,932",10,"1,927",10
Sub-Total for Yes,,,,,365,334,699,"4,042",11,"3,636",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"26,947","26,859","53,806","3,175,284",117,"3,168,647",117
16,01/2011,DTW - Detroit,No,No,"17,358","17,313","34,671","1,674,384",96,"1,674,401",96
17,01/2011,DTW - Detroit,No,Yes,67,70,137,416,6,439,6
Sub-Total for No,,,,,"17,425","17,383","34,808","1,674,800",96,"1,674,840",96
18,01/2011,DTW - Detroit,Yes,Yes,289,285,574,"3,127",10,"3,089",10
Sub-Total for Yes,,,,,356,355,711,"3,543",9,"3,528",9
Sub-Total for DTW - Detroit,,,,,"17,714","17,668","35,382","1,677,927",94,"1,677,929",94
19,01/2011,EWR - Newark,No,No,"15,005","15,004","30,009","1,783,110",118,"1,788,102",119
20,01/2011,EWR - Newark,No,Yes,177,176,353,"1,657",9,"1,687",9
Sub-Total for No,,,,,"15,182","15,180","30,362","1,784,767",117,"1,789,789",117
21,01/2011,EWR - Newark,Yes,Yes,181,185,366,"2,106",11,"2,154",11
Sub-Total for Yes,,,,,358,361,719,"3,763",10,"3,841",10
Sub-Total for EWR - Newark,,,,,"15,363","15,365","30,728","1,786,873",116,"1,791,943",116
22,01/2011,IAH - Houston,No,No,"21,330","21,201","42,531","2,189,748",102,"2,171,924",102
23,01/2011,IAH - Houston,No,Yes,195,133,328,"1,564",8,"1,213",9
Sub-Total for No,,,,,"21,525","21,334","42,859","2,191,312",101,"2,173,137",101
24,01/2011,IAH - Houston,Yes,Yes,475,487,962,"5,202",10,"5,341",10
Sub-Total for Yes,,,,,670,620,"1,290","6,766",10,"6,554",10
Sub-Total for IAH - Houston,,,,,"22,000","21,821","43,821","2,196,514",99,"2,178,478",99
25,01/2011,JFK - New York,No,No,"15,628","15,661","31,289","2,589,825",165,"2,593,621",165
26,01/2011,JFK - New York,No,Yes,21,27,48,170,8,204,7
Sub-Total for No,,,,,"15,649","15,688","31,337","2,589,995",165,"2,593,825",165
27,01/2011,JFK - New York,Yes,Yes,217,216,433,"2,372",10,"2,341",10
Sub-Total for Yes,,,,,238,243,481,"2,542",10,"2,545",10
Sub-Total for JFK - New York,,,,,"15,866","15,904","31,770","2,592,367",163,"2,596,166",163
28,01/2011,LAS - Las Vegas,No,No,"14,421","14,421","28,842","1,995,714",138,"1,994,919",138
29,01/2011,LAS - Las Vegas,No,Yes,410,411,821,"3,071",7,"3,048",7
Sub-Total for No,,,,,"14,831","14,832","29,663","1,998,785",134,"1,997,967",134
30,01/2011,LAS - Las Vegas,Yes,Yes,"2,327","2,246","4,573","24,768",10,"23,920",10
Sub-Total for Yes,,,,,"2,737","2,657","5,394","27,839",10,"26,968",10
Sub-Total for LAS - Las Vegas,,,,,"17,158","17,078","34,236","2,023,553",117,"2,021,887",118
31,01/2011,LAX - Los Angeles,No,No,"22,725","22,667","45,392","3,285,025",144,"3,278,014",144
32,01/2011,LAX - Los Angeles,No,Yes,64,62,126,524,8,484,7
Sub-Total for No,,,,,"22,789","22,729","45,518","3,285,549",144,"3,278,498",144
33,01/2011,LAX - Los Angeles,Yes,Yes,874,864,"1,738","10,237",11,"10,180",11
Sub-Total for Yes,,,,,938,926,"1,864","10,761",11,"10,664",11
Sub-Total for LAX - Los Angeles,,,,,"23,663","23,593","47,256","3,295,786",139,"3,288,678",139
34,01/2011,LGA - New York,No,No,"14,034","14,053","28,087","1,329,967",94,"1,331,200",94
35,01/2011,LGA - New York,No,Yes,24,27,51,194,8,206,7
Sub-Total for No,,,,,"14,058","14,080","28,138","1,330,161",94,"1,331,406",94
36,01/2011,LGA - New York,Yes,Yes,281,286,567,"3,295",11,"3,349",11
Sub-Total for Yes,,,,,305,313,618,"3,489",11,"3,555",11
