Date,Facility,Total_ops,Total Delays,TMI_to,Dep,Abrn,TMI_from_local,TMI_from_non_local,Total_occ_at,Total_local_dep,Abrn_dest_to_Delays,Class_AC,Class_AT,Class_GA,Class_Mil,Cause_Wx,Cause_Vol,Cause_Equip,Cause_Rwy,Cause_Other,Avg_delay_time,Total_delay_time
01/01/2011,ATL,2101,23,1,22,0,0,3,25,22,2,23,0,0,0,22,1,0,0,0,19,437
01/01/2011,BOS,696,0,0,0,0,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,CLT,1183,9,9,0,0,0,4,4,0,9,8,1,0,0,1,8,0,0,0,28,252
01/01/2011,DEN,1606,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,DFW,1511,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,DTW,921,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,EWR,909,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,IAH,1279,24,0,24,0,0,5,29,24,0,24,0,0,0,0,24,0,0,0,17,408
01/01/2011,JFK,1109,10,10,0,0,39,14,53,39,46,2,7,1,0,7,3,0,0,0,47,470
01/01/2011,LAS,1297,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,LAX,1393,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,LGA,564,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,MCO,894,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,MIA,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,MSP,992,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,ORD,2084,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,PHL,1126,4,1,3,0,1,4,8,4,29,4,0,0,0,1,3,0,0,0,26,104
01/01/2011,PHX,1100,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,SEA,730,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2011,SFO,944,199,199,0,0,0,0,0,0,15,143,50,6,0,199,0,0,0,0,44,8756
Sub-Total for 01/01/2011,,23499,269,220,49,0,41,104,194,90,103,204,58,7,0,230,39,0,0,0,38.76,10427
01/02/2011,ATL,2545,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2011,BOS,853,1,1,0,0,0,12,12,0,0,0,1,0,0,0,1,0,0,0,15,15
01/02/2011,CLT,1444,10,10,0,0,0,8,8,0,0,8,2,0,0,2,8,0,0,0,26,260
