Facility,Date,Name,State,Region,Type,Class,Tower_Operations,TRACON_Operations,Total_Operations
ATL,01/01/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2102,,2102
ATL,01/02/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2547,,2547
ATL,01/03/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2618,,2618
ATL,01/04/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2599,,2599
ATL,01/05/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2587,,2587
ATL,01/06/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2574,,2574
ATL,01/07/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2570,,2570
ATL,01/08/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2134,,2134
ATL,01/09/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2011,,2011
ATL,01/10/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,293,,293
ATL,01/11/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,755,,755
ATL,01/12/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2022,,2022
ATL,01/13/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2584,,2584
ATL,01/14/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2654,,2654
ATL,01/15/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2148,,2148
ATL,01/16/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2324,,2324
ATL,01/17/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2574,,2574
ATL,01/18/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2546,,2546
ATL,01/19/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2599,,2599
ATL,01/20/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2587,,2587
ATL,01/21/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2605,,2605
ATL,01/22/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2135,,2135
ATL,01/23/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2423,,2423
ATL,01/24/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2605,,2605
ATL,01/25/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2536,,2536
ATL,01/26/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2436,,2436
ATL,01/27/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2515,,2515
ATL,01/28/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2626,,2626
ATL,01/29/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2109,,2109
ATL,01/30/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2436,,2436
ATL,01/31/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2524,,2524
ATL,02/01/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2172,,2172
ATL,02/02/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2306,,2306
ATL,02/03/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2513,,2513
ATL,02/04/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2501,,2501
ATL,02/05/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2121,,2121
ATL,02/06/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2423,,2423
ATL,02/07/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2591,,2591
ATL,02/08/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2528,,2528
ATL,02/09/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2493,,2493
ATL,02/10/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2540,,2540
ATL,02/11/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2591,,2591
ATL,02/12/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2112,,2112
ATL,02/13/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2434,,2434
ATL,02/14/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2514,,2514
ATL,02/15/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2568,,2568
ATL,02/16/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2568,,2568
ATL,02/17/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2597,,2597
ATL,02/18/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2638,,2638
ATL,02/19/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2177,,2177
ATL,02/20/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2189,,2189
ATL,02/21/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2522,,2522
ATL,02/22/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2629,,2629
ATL,02/23/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2640,,2640
ATL,02/24/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2613,,2613
ATL,02/25/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2590,,2590
ATL,02/26/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2198,,2198
ATL,02/27/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2478,,2478
ATL,02/28/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2405,,2405
ATL,03/01/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2701,,2701
ATL,03/02/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2700,,2700
ATL,03/03/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2741,,2741
ATL,03/04/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2693,,2693
ATL,03/05/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2285,,2285
ATL,03/06/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2543,,2543
ATL,03/07/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2679,,2679
ATL,03/08/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2689,,2689
ATL,03/09/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2620,,2620
ATL,03/10/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2695,,2695
ATL,03/11/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2722,,2722
ATL,03/12/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2341,,2341
ATL,03/13/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2572,,2572
ATL,03/14/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2688,,2688
ATL,03/15/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2709,,2709
ATL,03/16/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2730,,2730
ATL,03/17/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2719,,2719
ATL,03/18/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2728,,2728
ATL,03/19/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2341,,2341
ATL,03/20/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2573,,2573
ATL,03/21/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2691,,2691
ATL,03/22/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2696,,2696
ATL,03/23/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2649,,2649
