GeoFIPS,GeoName,,,,Description,RPI2011,RPI2012,RPI2013
10180,Abilene,,, TX ,Real per capita personal income (chained (2009) dollars) 2/,38992,40563,41238
10420,Akron,,, OH ,Real per capita personal income (chained (2009) dollars) 2/,43548,44775,44918
10500,Albany,,, GA ,Real per capita personal income (chained (2009) dollars) 2/,37580,37501,37889
10540,Albany,,, OR ,Real per capita personal income (chained (2009) dollars) 2/,30730,31481,31472
10580,Albany,Schenectady,Troy, NY ,Real per capita personal income (chained (2009) dollars) 2/,45781,46768,46931
10740,Albuquerque,,, NM ,Real per capita personal income (chained (2009) dollars) 2/,35181,35525,34948
10780,Alexandria,,, LA ,Real per capita personal income (chained (2009) dollars) 2/,40248,41280,40729
10900,Allentown,Bethlehem,Easton, PA-NJ ,Real per capita personal income (chained (2009) dollars) 2/,40015,40865,40956
11020,Altoona,,, PA ,Real per capita personal income (chained (2009) dollars) 2/,38448,38833,39599
11100,Amarillo,,, TX ,Real per capita personal income (chained (2009) dollars) 2/,39070,40095,40177
11180,Ames,,, IA ,Real per capita personal income (chained (2009) dollars) 2/,45489,43959,43194
11260,Anchorage,,, AK ,Real per capita personal income (chained (2009) dollars) 2/,44696,45232,44641
11460,Ann Arbor,,, MI ,Real per capita personal income (chained (2009) dollars) 2/,39081,40311,40126
11500,Anniston,Oxford,Jacksonville, AL ,Real per capita personal income (chained (2009) dollars) 2/,37546,36389,35677
11540,Appleton,,, WI ,Real per capita personal income (chained (2009) dollars) 2/,41551,42231,42393
11700,Asheville,,, NC ,Real per capita personal income (chained (2009) dollars) 2/,36480,38085,37557
12020,Athens,Clarke County,, GA ,Real per capita personal income (chained (2009) dollars) 2/,33779,34296,34385
12060,Atlanta,Sandy Springs,Roswell, GA ,Real per capita personal income (chained (2009) dollars) 2/,40064,40464,40557
12100,Atlantic City,Hammonton,, NJ ,Real per capita personal income (chained (2009) dollars) 2/,37337,37289,36842
12220,Auburn,Opelika,, AL ,Real per capita personal income (chained (2009) dollars) 2/,33063,32970,33102
12260,Augusta,Richmond County,, GA-SC ,Real per capita personal income (chained (2009) dollars) 2/,37987,37473,37034
12420,Austin,Round Rock,, TX ,Real per capita personal income (chained (2009) dollars) 2/,40800,42835,42415
12540,Bakersfield,,, CA ,Real per capita personal income (chained (2009) dollars) 2/,32533,33992,34306
12580,Baltimore,Columbia,Towson, MD ,Real per capita personal income (chained (2009) dollars) 2/,46374,47243,46777
12620,Bangor,,, ME ,Real per capita personal income (chained (2009) dollars) 2/,34776,34936,35457
12700,Barnstable Town,,, MA ,Real per capita personal income (chained (2009) dollars) 2/,54825,56748,57301
12940,Baton Rouge,,, LA ,Real per capita personal income (chained (2009) dollars) 2/,40002,41466,41977
12980,Battle Creek,,, MI ,Real per capita personal income (chained (2009) dollars) 2/,36586,37156,37311
13020,Bay City,,, MI ,Real per capita personal income (chained (2009) dollars) 2/,37345,37317,36590
13140,Beaumont,Port Arthur,, TX ,Real per capita personal income (chained (2009) dollars) 2/,39681,41764,40861
13220,Beckley,,, WV ,Real per capita personal income (chained (2009) dollars) 2/,43831,44090,42982
13380,Bellingham,,, WA ,Real per capita personal income (chained (2009) dollars) 2/,36868,38261,38507
13460,Bend,Redmond,, OR ,Real per capita personal income (chained (2009) dollars) 2/,37702,38240,38327
13740,Billings,,, MT ,Real per capita personal income (chained (2009) dollars) 2/,40240,41923,40734
13780,Binghamton,,, NY ,Real per capita personal income (chained (2009) dollars) 2/,38225,38956,38837
13820,Birmingham,Hoover,, AL ,Real per capita personal income (chained (2009) dollars) 2/,43057,44297,44232
13900,Bismarck,,, ND ,Real per capita personal income (chained (2009) dollars) 2/,45711,48152,46806
13980,Blacksburg,Christiansburg,Radford, VA ,Real per capita personal income (chained (2009) dollars) 2/,32342,33930,34065
14010,Bloomington,,, IL ,Real per capita personal income (chained (2009) dollars) 2/,43999,44401,45174
14020,Bloomington,,, IN ,Real per capita personal income (chained (2009) dollars) 2/,32100,32629,32207
14100,Bloomsburg,Berwick,, PA ,Real per capita personal income (chained (2009) dollars) 2/,36447,37202,37416
14260,Boise City,,, ID ,Real per capita personal income (chained (2009) dollars) 2/,35023,35640,36309
14460,Boston,Cambridge,Newton, MA-NH ,Real per capita personal income (chained (2009) dollars) 2/,50687,52216,52043
14500,Boulder,,, CO ,Real per capita personal income (chained (2009) dollars) 2/,45855,47280,46965
14540,Bowling Green,,, KY ,Real per capita personal income (chained (2009) dollars) 2/,35828,35961,35914
14740,Bremerton,Silverdale,, WA ,Real per capita personal income (chained (2009) dollars) 2/,39881,40689,40677
14860,Bridgeport,Stamford,Norwalk, CT ,Real per capita personal income (chained (2009) dollars) 2/,62706,64059,63459
15180,Brownsville,Harlingen,, TX ,Real per capita personal income (chained (2009) dollars) 2/,27033,27148,27179
15260,Brunswick,,, GA ,Real per capita personal income (chained (2009) dollars) 2/,38080,37788,37712
15380,Buffalo,Cheektowaga,Niagara Falls, NY ,Real per capita personal income (chained (2009) dollars) 2/,43123,44377,44178
15500,Burlington,,, NC ,Real per capita personal income (chained (2009) dollars) 2/,33846,35519,35083
15540,Burlington,South Burlington,, VT ,Real per capita personal income (chained (2009) dollars) 2/,43222,43876,44091
15680,California,Lexington Park,, MD ,Real per capita personal income (chained (2009) dollars) 2/,46064,45719,45611
15940,Canton,Massillon,, OH ,Real per capita personal income (chained (2009) dollars) 2/,38695,39546,40224
15980,Cape Coral,Fort Myers,, FL ,Real per capita personal income (chained (2009) dollars) 2/,42951,42248,42052
16020,Cape Girardeau,,, MO-IL ,Real per capita personal income (chained (2009) dollars) 2/,40615,41982,41962
16060,Carbondale,Marion,, IL ,Real per capita personal income (chained (2009) dollars) 2/,40437,40874,41250
16180,Carson City,,, NV ,Real per capita personal income (chained (2009) dollars) 2/,40427,41991,42207
16220,Casper,,, WY ,Real per capita personal income (chained (2009) dollars) 2/,54650,57301,56287
16300,Cedar Rapids,,, IA ,Real per capita personal income (chained (2009) dollars) 2/,45048,46072,46325
16540,Chambersburg,Waynesboro,, PA ,Real per capita personal income (chained (2009) dollars) 2/,36785,37075,37136
16580,Champaign,Urbana,, IL ,Real per capita personal income (chained (2009) dollars) 2/,39256,40194,41329
16620,Charleston,,, WV ,Real per capita personal income (chained (2009) dollars) 2/,44147,44236,44403
16700,Charleston,North Charleston,, SC ,Real per capita personal income (chained (2009) dollars) 2/,38865,40310,39893
16740,Charlotte,Concord,Gastonia, NC-SC ,Real per capita personal income (chained (2009) dollars) 2/,40103,42075,41676
16820,Charlottesville,,, VA ,Real per capita personal income (chained (2009) dollars) 2/,43715,45702,45628
16860,Chattanooga,,, TN-GA ,Real per capita personal income (chained (2009) dollars) 2/,38555,39544,39360
16940,Cheyenne,,, WY ,Real per capita personal income (chained (2009) dollars) 2/,49524,50318,49730
16980,Chicago,Naperville,Elgin, IL-IN-WI ,Real per capita personal income (chained (2009) dollars) 2/,41743,43033,43050
17020,Chico,,, CA ,Real per capita personal income (chained (2009) dollars) 2/,33441,33969,34660
17140,Cincinnati,,, OH-KY-IN ,Real per capita personal income (chained (2009) dollars) 2/,44133,45296,45359
17300,Clarksville,,, TN-KY ,Real per capita personal income (chained (2009) dollars) 2/,42545,40745,40515
17420,Cleveland,,, TN ,Real per capita personal income (chained (2009) dollars) 2/,36325,39049,39150
17460,Cleveland,Elyria,, OH ,Real per capita personal income (chained (2009) dollars) 2/,46175,47482,47797
17660,Coeur d'Alene,,, ID ,Real per capita personal income (chained (2009) dollars) 2/,35044,36574,36740
17780,College Station,Bryan,, TX ,Real per capita personal income (chained (2009) dollars) 2/,31698,32967,33316
17820,Colorado Springs,,, CO ,Real per capita personal income (chained (2009) dollars) 2/,39220,39360,38790
