GeoFIPS,GeoName,,,,Description,GDP2011,GDP2012,GDP2013
10180,Abilene,,, TX ,All industry total,5803,6327,6813
10420,Akron,,, OH ,All industry total,29544,30601,31317
10580,Albany,Schenectady,Troy, NY ,All industry total,43968,45788,47432
10500,Albany,,, GA ,All industry total,4999,5106,5182
10540,Albany,,, OR ,All industry total,3163,3309,3412
10740,Albuquerque,,, NM ,All industry total,39765,40868,41393
10780,Alexandria,,, LA ,All industry total,5210,5298,5300
10900,Allentown,Bethlehem,Easton, PA-NJ ,All industry total,31973,32867,33803
11020,Altoona,,, PA ,All industry total,4521,4578,4706
11100,Amarillo,,, TX ,All industry total,10532,11147,11750
11180,Ames,,, IA ,All industry total,4519,4429,4567
11260,Anchorage,,, AK ,All industry total,29955,30656,30756
11460,Ann Arbor,,, MI ,All industry total,19065,19153,20100
11500,Anniston,Oxford,Jacksonville, AL ,All industry total,3863,3799,3761
11540,Appleton,,, WI ,All industry total,10490,10919,11308
11700,Asheville,,, NC ,All industry total,14504,15113,15726
12020,Athens,Clarke County,, GA ,All industry total,6899,7171,7358
12060,Atlanta,Sandy Springs,Roswell, GA ,All industry total,286108,296059,309059
12100,Atlantic City,Hammonton,, NJ ,All industry total,13090,13407,13504
12220,Auburn,Opelika,, AL ,All industry total,4159,4285,4590
12260,Augusta,Richmond County,, GA-SC ,All industry total,20173,20597,20832
12420,Austin,Round Rock,, TX ,All industry total,92763,100273,106981
12540,Bakersfield,,, CA ,All industry total,35933,38350,39586
12580,Baltimore,Columbia,Towson, MD ,All industry total,157416,162670,167871
12620,Bangor,,, ME ,All industry total,5431,5584,5711
12700,Barnstable Town,,, MA ,All industry total,9446,9985,10297
12940,Baton Rouge,,, LA ,All industry total,46964,50232,49561
12980,Battle Creek,,, MI ,All industry total,5085,5316,5573
13020,Bay City,,, MI ,All industry total,2987,3059,3165
13140,Beaumont,Port Arthur,, TX ,All industry total,21858,22193,23114
13220,Beckley,,, WV ,All industry total,4669,4484,4597
13380,Bellingham,,, WA ,All industry total,9194,9532,9799
13460,Bend,Redmond,, OR ,All industry total,5760,6060,6518
13740,Billings,,, MT ,All industry total,8493,8990,9123
13780,Binghamton,,, NY ,All industry total,8787,8926,8995
13820,Birmingham,Hoover,, AL ,All industry total,56111,58643,60411
13900,Bismarck,,, ND ,All industry total,5588,6360,6691
13980,Blacksburg,Christiansburg,Radford, VA ,All industry total,5767,6366,6451
14010,Bloomington,,, IL ,All industry total,10105,10587,11356
14020,Bloomington,,, IN ,All industry total,6210,6151,6244
14100,Bloomsburg,Berwick,, PA ,All industry total,3491,3564,3719
14260,Boise City,,, ID ,All industry total,25566,26511,28051
